0 ,0 ,Unknown , Unknown ,Unknown ,Unknown ,Unknown ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.741310520230972 ,[4.93369    4.04801257] ,3 ,0 ,2.5876391260496713e-05 ,  -48.27943349 -48.1801705 -48.15587232 -48.12203736 -48.10598334 -48.09459905 -48.08809931
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.675824075937909 ,[4.49000901 5.48732475] ,178 ,0 ,2.2695883437551072e-05 ,  -52.90410751 -52.89592341 -52.82787192 -52.80014288 -52.76578693 -52.75337373 -52.74126598
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.195183132176171 ,[34.84169711 38.65917972] ,1 ,0 ,2.0144491424142162e-05 ,  69.88891621 69.91986793 70.03349299 70.04867289 70.08837126 70.10284878 70.16479784
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,3.9318879470885033 ,[3.84484748 5.5673122 ] ,174 ,0 ,1.7886651405168095e-05 ,  28.7306919 28.7554205 28.77147082 28.78388796 28.79365025 28.79883745 28.81459932
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.240100268119409 ,[4.37866201 9.48771508] ,22 ,138 ,2.5202673716518737e-05 ,  -97.11847927 -97.08767388 -96.94188979 -96.90228075 -96.81216858 -96.78491193 -96.76859631
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.39613459486501 ,[4.33637018 5.79061515] ,196 ,0 ,3.075603861971358e-05 ,  -32.67856197 -32.62534077 -32.62149902 -32.58529795 -32.56918085 -32.56163005 -32.55954876
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.225429912803288 ,[3.83753875 4.71083475] ,188 ,0 ,1.982474853155774e-05 ,  22.67163657 22.72358057 22.74616193 22.75288331 22.7712393 22.77983306 22.79606107
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.409554996527345 ,[3.96439216 4.89420154] ,167 ,0 ,2.0960148863253853e-05 ,  4.01387361 4.031110697 4.040756931 4.061383124 4.070537493 4.077598429 4.087606643
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.003005631340131 ,[4.76578627 5.46640672] ,161 ,0 ,2.2627326291846175e-05 ,  -9.251424052 -9.234054247 -9.221441125 -9.21275301 -9.206721313 -9.200792721 -9.197847396
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.319958006498267 ,[5.15552778 5.44221807] ,186 ,0 ,2.7913817975463678e-05 ,  25.45093991 25.48531243 25.5056394 25.51083186 25.52080203 25.52555472 25.53016171
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.34197648656165 ,[3.88721553 5.47293449] ,2 ,0 ,2.2178652110645028e-05 ,  -109.4428793 -109.3966784 -109.3857312 -109.3649481 -109.3575904 -109.3447038 -109.3376925
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.318174852731994 ,[4.14528963 5.57338855] ,138 ,0 ,2.159308326505846e-05 ,  -20.83578447 -20.81224308 -20.80900254 -20.80193062 -20.79202262 -20.78817396 -20.78203189
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.628942991326545 ,[4.69405148 6.53999093] ,192 ,0 ,2.5201315134740763e-05 ,  -97.22708231 -97.12488965 -97.07219729 -97.02958746 -96.92892193 -96.88694966 -96.86827365
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.397180209463985 ,[4.72905703 4.10604908] ,1 ,0 ,2.2280700375055264e-05 ,  24.11651788 24.15063621 24.17030339 24.18878194 24.20157143 24.20544538 24.21747737
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.644757421932222 ,[4.91158338 4.71432623] ,6 ,0 ,2.1478166666575323e-05 ,  44.98377809 45.11978219 45.16943096 45.19536153 45.2070547 45.234818 45.24551849
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.8272036377436285 ,[8.47062814 4.89884415] ,2 ,0 ,2.4927302329601502e-05 ,  -65.29192596 -65.2774156 -65.20893005 -65.16695682 -65.12980713 -65.11399778 -65.10478926
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.820559239032653 ,[4.98505666 4.2892322 ] ,4 ,0 ,1.8129648876968946e-05 ,  -27.53940037 -27.45884918 -27.44412295 -27.43103412 -27.42306465 -27.40182987 -27.3961327
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.779670653286395 ,[4.84336332 7.00044912] ,108 ,0 ,2.5674439483559505e-05 ,  -7.738556714 -7.738062432 -7.727664939 -7.717299632 -7.704662738 -7.70289436 -7.69946855
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,3.812233919892698 ,[3.51812274 4.90447654] ,2 ,0 ,1.9579567369825743e-05 ,  15.16637986 15.24696145 15.26516929 15.27637113 15.28377426 15.29494642 15.300232
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.563528024435153 ,[4.41758478 4.55554252] ,203 ,0 ,2.0358399394566905e-05 ,  -40.09377558 -40.05901932 -40.02691992 -40.00416795 -39.9978124 -39.98585442 -39.97785551
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.23739496083838 ,[5.25417001 4.45487395] ,3 ,0 ,2.2711039153384633e-05 ,  18.98965114 19.0369056 19.04491121 19.06378906 19.08109222 19.09026779 19.10278983
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.087771063125921 ,[5.15027888 5.67168876] ,1 ,0 ,2.8525649250260388e-05 ,  -30.97972794 -30.95335585 -30.94158216 -30.92079038 -30.91231317 -30.896652 -30.89420182
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.1652443372942 ,[5.5038761  8.04826044] ,12 ,0 ,2.50270570649833e-05 ,  -10.50467461 -10.49010591 -10.4888081 -10.46707613 -10.46251446 -10.46226632 -10.45372257
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.74260277990661 ,[6.68188071 4.2195039 ] ,383 ,0 ,2.5285359264657197e-05 ,  103.6337734 103.7214574 103.8355178 103.8835536 103.9036828 103.9317167 103.969605
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.361843638872491 ,[6.27874431 5.14988906] ,193 ,360 ,1.89871240197491e-05 ,  56.01968565 56.06668117 56.11307219 56.11956159 56.14319068 56.15212106 56.17169166
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.215415340444031 ,[3.98258708 4.74992713] ,227 ,361 ,2.6453056246405478e-05 ,  -104.3002338 -104.2152126 -104.1885615 -104.169986 -104.1421114 -104.107361 -104.1004371
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.3897125592337485 ,[4.29025804 3.9783178 ] ,4 ,0 ,2.013923545640395e-05 ,  15.03955071 15.06941903 15.09757307 15.1062247 15.12163734 15.1270665 15.13917321
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.502048339811501 ,[8.22745493 6.38594476] ,208 ,0 ,2.2243503391323665e-05 ,  36.50049643 36.53467725 36.55074812 36.56205534 36.57764619 36.59503165 36.6010534
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.736676975567924 ,[30.07777402 43.04229   ] ,1 ,0 ,2.1286579184073232e-05 ,  125.2500881 125.4408615 125.4989845 125.6698601 125.7236832 125.8127931 125.8512902
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.100298463040427 ,[6.11195658 4.98235232] ,141 ,0 ,2.1922623220080886e-05 ,  1.847091993 1.886222894 1.890198923 1.90123901 1.903403687 1.908362027 1.910717484
