6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9319635197440277 ,[1.8594402  1.97709674] ,U ,U ,2.2506754892224294e-06 ,  -496.7659406 -496.7640142 -496.7632312 -496.5959373 -496.5920714 -496.5864711
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9127500190623425 ,[2.01128478 1.88673462] ,U ,U ,2.2104327433037794e-06 ,  -504.3309216 -504.3286469 -504.3254052 -504.1611198 -504.1581185 -504.1564597
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.1952316918137877 ,[2.18099718 2.02448882] ,U ,U ,2.346526599523311e-06 ,  -498.5578136 -498.5563358 -498.5560741 -498.3705078 -498.3688592 -498.3664166
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.8110221927930445 ,[1.7986317  1.98071685] ,U ,U ,2.273400644665477e-06 ,  -503.555987 -503.5542008 -503.5529311 -503.401393 -503.4007817 -503.3966665
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.2752232295315604 ,[2.38756987 2.03963036] ,U ,U ,2.292328001547862e-06 ,  -500.6951443 -500.6950824 -500.6950554 -500.5019207 -500.5018205 -500.5017537
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.0504029420964622 ,[1.98874225 2.25002349] ,U ,U ,2.1978065159369798e-06 ,  -507.1214807 -507.1072506 -507.1018336 -506.9921776 -506.9737336 -506.9654232
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.1377256162100844 ,[2.10154471 2.31333697] ,U ,U ,2.05720411112642e-06 ,  -502.0374868 -502.0371268 -502.0368615 -501.8461097 -501.8454409 -501.8448402
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.093462762750589 ,[1.85054715 2.17750649] ,U ,U ,2.2975063666185073e-06 ,  -498.0700491 -498.068894 -498.0686204 -497.9001477 -497.8976175 -497.8952503
6 ,18 ,HC , 4800.0 ,0.0004 ,-0.0004 ,0.075 ,6.393549322984983 ,[7.26478088 5.90852101] ,52 ,0 ,2.096263741416182e-06 ,  -497.5554804 -497.5553083 -497.5542626 -497.3743057 -497.3734682 -497.3712273
6 ,18 ,HC , 4800.0 ,0.0004 ,-0.0004 ,0.075 ,6.594336055822636 ,[6.54910163 6.89820968] ,30 ,0 ,1.7065564793815425e-06 ,  -501.2202527 -501.2201132 -501.2199625 -501.0344404 -501.0343512 -501.0332101
