# variance   lcorr  varInterval, lcorrInterval, last sigma last Vmax 
4.89795918367347e-05 1.0204081632653063e-06 1.3834638794800744 0.896385056974036 0.02  0.0005
5e-05 1.0204081632653063e-06 1.3834638794800744 0.896385056974036 0.02  0.0005
0.0 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.0204081632653063e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.0408163265306125e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
3.0612244897959185e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
4.081632653061225e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
5.1020408163265315e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
6.122448979591837e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
7.1428571428571436e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
8.16326530612245e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
9.183673469387756e-06 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.0204081632653063e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.1224489795918369e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.2244897959183674e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.3265306122448982e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.4285714285714287e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.5306122448979594e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.63265306122449e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.7346938775510206e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.836734693877551e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
1.938775510204082e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.0408163265306126e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.142857142857143e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.2448979591836737e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.3469387755102043e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.448979591836735e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.5510204081632657e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.6530612244897963e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.755102040816327e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.8571428571428574e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
2.959183673469388e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
3.061224489795919e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
3.1632653061224494e-05 1.0204081632653063e-06 2.2798489364541106 0.896385056974036 0.02  0.0005
